483 FIFTH AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010230007,03/02/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/20/2017,987722,182552
425 WEST   46 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010560019,01/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/19/2017,986560,216668
555 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027560038,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,998003,199437
182 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030530008,05/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/11/2017,999972,197211
31-11 21 STREET,QUEENS,01 QUEENS,Precinct 114,22,4005520014,03/01/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/07/2017,1003621,218740
47-31 VERNON BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,4000450048,12/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,997151,210584
618 WEST  177 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021440017,12/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2017,1001890,247861
377 87 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060440147,01/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/27/2017,976067,165995
8604 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060440040,11/23/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/27/2017,976363,166135
8 BAY   22 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063720055,01/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2017,984213,159729
262 NEPTUNE AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3086650558,11/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2017,994538,151065
1809 67 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055610001,11/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2017,986769,164323
97-18 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4089380009,09/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2017,1026323,192397
685 MEEKER AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027070002,01/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2017,1000881,202695
26-18 21 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008850038,02/05/2017,Closed,Cleaning crew dispatched.  Owner refused.,02/21/2017,1004941,220928
23-33 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008350025,11/13/2016,Closed,Cleaning crew dispatched.  Owner refused.,02/21/2017,1008137,221138
710 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021150010,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/04/2017,991572,189193
32-02 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006140039,09/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,1005707,217594
6709 FIFTH AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058560020,09/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2016,978633,170742
6024 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057820042,09/11/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/29/2016,979707,172191
656A EAST   52 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047720010,09/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,1004336,173947
282 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017220001,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,999239,233383
101 WEST   15 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,03,1007910036,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,985148,208234
2637 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,06,1018710052,06/26/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/03/2016,992548,229675
31 EAST   31 STREET,MANHATTAN,05 MANHATTAN,Unspecified,02,1008610027,07/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,988686,210963
237 WEST   13 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006180058,05/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,983816,208318
58 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003090008,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2016,986775,200432
62 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003090010,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2016,986795,200482
3221 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,46,3077050002,07/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,1001052,162586
208 TAPSCOTT STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035490048,06/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2016,1006520,180838
266 STERLING PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011700009,09/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,992872,185482
187 SUYDAM STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032080035,07/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1004824,194321
575 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027560029,08/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,998275,199489
57 CONSELYEA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027520001,06/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,998399,199706
16 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026450036,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/28/2016,997678,202901
367 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027540026,05/22/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/25/2016,999617,199987
4802 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46,3078930040,06/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/17/2016,1004054,164741
109 WILSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031970008,05/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/12/2016,1004569,194779
8023 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059900002,06/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,977523,167183
8422 FIFTH AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060260050,05/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,977184,166123
4823 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007740001,05/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2016,981035,175146
2213 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073270044,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2016,998348,157742
1758 79 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062720031,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/03/2016,984423,162142
1031 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012120001,03/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,997542,185645
559 WEST  184 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021570028,12/08/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,03/28/2017,1003187,249230
19 WEST  127 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1017250027,11/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/28/2017,1000254,233691
7 EAST  181 STREET,BRONX,05 BRONX,Precinct 46,14,2031850017,01/11/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,1010429,251044
44 7 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009450048,12/05/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/08/2017,991447,185763
5522 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008330048,09/01/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/09/2016,981749,172255
474 62 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058000035,09/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,979239,171994
42 GATLING PLACE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060530042,08/30/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/28/2016,977471,164847
290 ETNA STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041190050,10/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2016,1019463,189586
6322 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3057410025,06/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,984992,167001
1550 MINFORD PLACE,BRONX,03 BRONX,Precinct 42,17,2029770139,05/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/17/2016,1014594,243461
77 TROUTMAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031710047,09/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1003302,193838
248 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026820036,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,998700,202578
825A MADISON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014810065,05/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/26/2016,1005615,189907
772 44 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007410037,05/21/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/04/2016,984001,174223
EAST   67 STREET & 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,05,,10/19/2016,Closed,10-90Z - Gone on Arrival,10/19/2016,995795,217850
558 WEST  235 STREET,BRONX,08 BRONX,Precinct 50,11,2057860204,01/14/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/09/2017,1009179,261948
2475 PALISADE AVENUE,BRONX,08 BRONX,Precinct 50,11,2057160287,12/28/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/09/2017,1005714,260078
166 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017530032,05/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/15/2016,997444,192345
871 EAST  224 STREET,BRONX,12 BRONX,Precinct 47,12,2048490001,12/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/26/2017,1024038,261958
7 BAY   49 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069040024,11/17/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,988642,153971
4509 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,11,2050810096,12/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/07/2017,1024975,267374
1217 EAST  233 STREET,BRONX,12 BRONX,Precinct 47,12,2049540068,12/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/06/2017,1027880,263039
1374 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032770014,11/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1006232,193788
312 TEN EYCK STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030290006,07/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/13/2016,1001712,198448
243 LAFAYETTE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004950005,06/01/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/23/2016,985106,202612
1393A 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,04,1014270028,05/01/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995874,219544
355 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003100020,04/28/2017,Open,Site downloaded for cleaning,,987223,200404
142 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021740073,04/26/2017,Open,Site downloaded for cleaning,,1004746,253038
111 DYCKMAN STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022170051,04/22/2017,Open,Site downloaded for cleaning,,1004993,253348
