,INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
3148,582 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37.0,3039800019.0,10/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2016,1015210.0,185434.0
3149,2978 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,46.0,3077110038.0,07/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2016,1000307.0,161943.0
3150,6814 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3055730012.0,07/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,984680.0,165550.0
3151,7619 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3059520003.0,07/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,977857.0,168255.0
3152,176 16 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,39.0,3010530015.0,08/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2016,987106.0,181518.0
3153,583 EAST  189 STREET,BRONX,06 BRONX,Precinct 48,15.0,2030670069.0,05/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1015652.0,251755.0
3154,689 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15.0,2030900031.0,05/19/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/12/2016,1016054.0,250555.0
3155,160 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003490030.0,06/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2016,988330.0,201284.0
3156,365 SOUTH    4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3024370025.0,06/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,997159.0,197384.0
3157,83-11 37 AVENUE,QUEENS,03 QUEENS,Precinct 115,25.0,4014570034.0,06/03/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/26/2016,1016619.0,212498.0
3158,249 BERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3023800001.0,06/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/02/2016,994592.0,199835.0
3159,180 BAY RIDGE AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3058700032.0,06/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,976054.0,171285.0
3160,5524 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008300045.0,06/09/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/02/2016,979897.0,173719.0
3161,1645 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3065830080.0,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2016,991539.0,162547.0
3162,2972 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3067920007.0,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/19/2016,999793.0,162164.0
3163,903 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025580051.0,05/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/15/2016,996918.0,205382.0
