,INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
0,17 SPENCER STREET,BROOKLYN,03 BROOKLYN,Precinct 79,33.0,3017160018.0,06/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2016,996473.0,193713.0
1,3512 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45.0,3076970043.0,02/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/24/2017,1000704.0,164336.0
2,1535 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3065640075.0,02/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/20/2017,991400.0,163492.0
3,1001 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17.0,2027150029.0,03/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1013340.0,239229.0
4,798 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,8.0,2027290072.0,01/29/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/18/2017,1012921.0,236623.0
5,1897 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,1016540045.0,01/20/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/28/2017,999396.0,227353.0
6,7819 NEW UTRECTH AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3062590074.0,01/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,984062.0,162673.0
7,2393 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3073150046.0,01/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2017,995020.0,157451.0
8,551 EAST  169 STREET,BRONX,03 BRONX,Precinct 42,16.0,2029250092.0,01/25/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/08/2017,1010775.0,242579.0
9,92-32 UNION HALL STREET,QUEENS,12 QUEENS,Precinct 103,27.0,4101010027.0,11/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1040354.0,195744.0
10,207 STARR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031880056.0,12/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,1005533.0,196143.0
11,227 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1002700032.0,10/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/27/2017,987461.0,198963.0
12,6 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,1017220040.0,10/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/26/2017,1000138.0,233131.0
13,373 5 AVENUE,MANHATTAN,05 MANHATTAN,Unspecified,4.0,1008650001.0,07/03/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/25/2017,988683.0,212228.0
14,1355 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,7.0,1019660107.0,08/10/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/14/2016,996480.0,235833.0
15,36-51 MAIN STREET,QUEENS,07 QUEENS,Precinct 109,20.0,4049770006.0,09/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,1030932.0,217006.0
16,1267 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45.0,3047810074.0,08/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2016,1003879.0,172987.0
17,5601 AVENUE L,BROOKLYN,18 BROOKLYN,Precinct 63,46.0,3078360008.0,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/23/2016,1006055.0,166603.0
18,43 GEORGE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031530031.0,09/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1003181.0,194730.0
19,300 SHEFFIELD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42.0,3037530008.0,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1013002.0,183318.0
20,24-02 82 STREET,QUEENS,03 QUEENS,Precinct 115,22.0,4010450010.0,08/31/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/14/2016,1015545.0,217865.0
21,129-04 14 AVENUE,QUEENS,07 QUEENS,Precinct 109,19.0,4040970005.0,07/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,1028781.0,225545.0
22,6201 15 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38.0,3055300001.0,07/12/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/07/2016,985524.0,166964.0
23,2724 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,7.0,1018760020.0,08/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,993080.0,230755.0
24,195-14 47 AVENUE,QUEENS,11 QUEENS,Precinct 111,20.0,4056140036.0,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,1043593.0,213525.0
25,160 ROGERS AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35.0,3012530034.0,08/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,997236.0,183755.0
26,1797 MONTGOMERY AVENUE,BRONX,05 BRONX,Precinct 46,14.0,2028770527.0,06/13/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/11/2016,1007288.0,249592.0
27,420 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3028780006.0,08/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,1001689.0,201029.0
28,97 GREEN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025120001.0,08/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,996032.0,206513.0
29,486 ATLANTIC AVENUE,BROOKLYN,02 BROOKLYN,Precinct 84,33.0,3001850010.0,05/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2016,989255.0,189133.0
30,115-19 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,28.0,4095200025.0,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2016,1032094.0,189171.0
31,483 FIFTH AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39.0,3010230007.0,03/02/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/20/2017,987722.0,182552.0
32,425 WEST   46 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,1010560019.0,01/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/19/2017,986560.0,216668.0
33,555 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3027560038.0,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,998003.0,199437.0
34,182 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3030530008.0,05/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/11/2017,999972.0,197211.0
35,31-11 21 STREET,QUEENS,01 QUEENS,Precinct 114,22.0,4005520014.0,03/01/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/07/2017,1003621.0,218740.0
36,47-31 VERNON BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26.0,4000450048.0,12/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,997151.0,210584.0
37,618 WEST  177 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,1021440017.0,12/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2017,1001890.0,247861.0
38,377 87 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060440147.0,01/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/27/2017,976067.0,165995.0
39,8604 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060440040.0,11/23/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/27/2017,976363.0,166135.0
40,8 BAY   22 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47.0,3063720055.0,01/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2017,984213.0,159729.0
41,262 NEPTUNE AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48.0,3086650558.0,11/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2017,994538.0,151065.0
42,1809 67 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47.0,3055610001.0,11/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2017,986769.0,164323.0
43,97-18 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32.0,4089380009.0,09/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2017,1026323.0,192397.0
44,685 MEEKER AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3027070002.0,01/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2017,1000881.0,202695.0
45,26-18 21 STREET,QUEENS,01 QUEENS,Precinct 114,22.0,4008850038.0,02/05/2017,Closed,Cleaning crew dispatched.  Owner refused.,02/21/2017,1004941.0,220928.0
46,23-33 31 STREET,QUEENS,01 QUEENS,Precinct 114,22.0,4008350025.0,11/13/2016,Closed,Cleaning crew dispatched.  Owner refused.,02/21/2017,1008137.0,221138.0
47,710 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3021150010.0,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/04/2017,991572.0,189193.0
48,32-02 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,22.0,4006140039.0,09/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,1005707.0,217594.0
49,6709 FIFTH AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3058560020.0,09/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2016,978633.0,170742.0
50,6024 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3057820042.0,09/11/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/29/2016,979707.0,172191.0
51,656A EAST   52 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,45.0,3047720010.0,09/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,1004336.0,173947.0
52,282 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,1017220001.0,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,999239.0,233383.0
53,101 WEST   15 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,3.0,1007910036.0,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,985148.0,208234.0
54,2637 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,1018710052.0,06/26/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/03/2016,992548.0,229675.0
55,31 EAST   31 STREET,MANHATTAN,05 MANHATTAN,Unspecified,2.0,1008610027.0,07/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,988686.0,210963.0
56,237 WEST   13 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,1006180058.0,05/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,983816.0,208318.0
57,58 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003090008.0,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2016,986775.0,200432.0
58,62 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003090010.0,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2016,986795.0,200482.0
59,3221 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,46.0,3077050002.0,07/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,1001052.0,162586.0
60,208 TAPSCOTT STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41.0,3035490048.0,06/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2016,1006520.0,180838.0
61,266 STERLING PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35.0,3011700009.0,09/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,992872.0,185482.0
62,187 SUYDAM STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3032080035.0,07/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1004824.0,194321.0
63,575 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3027560029.0,08/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,998275.0,199489.0
64,57 CONSELYEA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3027520001.0,06/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,998399.0,199706.0
65,16 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026450036.0,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/28/2016,997678.0,202901.0
66,367 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3027540026.0,05/22/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/25/2016,999617.0,199987.0
67,4802 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46.0,3078930040.0,06/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/17/2016,1004054.0,164741.0
68,109 WILSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031970008.0,05/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/12/2016,1004569.0,194779.0
69,8023 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3059900002.0,06/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,977523.0,167183.0
70,8422 FIFTH AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060260050.0,05/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,977184.0,166123.0
71,4823 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007740001.0,05/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2016,981035.0,175146.0
72,2213 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3073270044.0,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2016,998348.0,157742.0
73,1758 79 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3062720031.0,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/03/2016,984423.0,162142.0
74,1031 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36.0,3012120001.0,03/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,997542.0,185645.0
75,559 WEST  184 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,1021570028.0,12/08/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,03/28/2017,1003187.0,249230.0
76,19 WEST  127 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,1017250027.0,11/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/28/2017,1000254.0,233691.0
77,7 EAST  181 STREET,BRONX,05 BRONX,Precinct 46,14.0,2031850017.0,01/11/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,1010429.0,251044.0
78,44 7 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39.0,3009450048.0,12/05/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/08/2017,991447.0,185763.0
79,5522 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008330048.0,09/01/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/09/2016,981749.0,172255.0
80,474 62 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3058000035.0,09/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,979239.0,171994.0
81,42 GATLING PLACE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060530042.0,08/30/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/28/2016,977471.0,164847.0
82,290 ETNA STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37.0,3041190050.0,10/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2016,1019463.0,189586.0
83,6322 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38.0,3057410025.0,06/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,984992.0,167001.0
84,1550 MINFORD PLACE,BRONX,03 BRONX,Precinct 42,17.0,2029770139.0,05/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/17/2016,1014594.0,243461.0
85,77 TROUTMAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031710047.0,09/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1003302.0,193838.0
86,248 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026820036.0,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,998700.0,202578.0
87,825A MADISON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41.0,3014810065.0,05/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/26/2016,1005615.0,189907.0
88,772 44 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007410037.0,05/21/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/04/2016,984001.0,174223.0
89,EAST   67 STREET & 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,,10/19/2016,Closed,10-90Z - Gone on Arrival,10/19/2016,995795.0,217850.0
90,558 WEST  235 STREET,BRONX,08 BRONX,Precinct 50,11.0,2057860204.0,01/14/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/09/2017,1009179.0,261948.0
91,2475 PALISADE AVENUE,BRONX,08 BRONX,Precinct 50,11.0,2057160287.0,12/28/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/09/2017,1005714.0,260078.0
92,166 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33.0,3017530032.0,05/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/15/2016,997444.0,192345.0
93,871 EAST  224 STREET,BRONX,12 BRONX,Precinct 47,12.0,2048490001.0,12/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/26/2017,1024038.0,261958.0
94,7 BAY   49 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47.0,3069040024.0,11/17/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,988642.0,153971.0
95,4509 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,11.0,2050810096.0,12/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/07/2017,1024975.0,267374.0
96,1217 EAST  233 STREET,BRONX,12 BRONX,Precinct 47,12.0,2049540068.0,12/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/06/2017,1027880.0,263039.0
97,1374 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3032770014.0,11/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1006232.0,193788.0
98,312 TEN EYCK STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3030290006.0,07/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/13/2016,1001712.0,198448.0
99,243 LAFAYETTE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,1004950005.0,06/01/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/23/2016,985106.0,202612.0
100,1393A 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,1014270028.0,05/01/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995874.0,219544.0
101,355 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003100020.0,04/28/2017,Open,Site downloaded for cleaning,,987223.0,200404.0
102,142 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,1021740073.0,04/26/2017,Open,Site downloaded for cleaning,,1004746.0,253038.0
103,111 DYCKMAN STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,1022170051.0,04/22/2017,Open,Site downloaded for cleaning,,1004993.0,253348.0
104,204 WAVERLY PLACE,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,1006110022.0,05/03/2017,Open,Site downloaded for cleaning,,983833.0,207002.0
105,116 WEST  116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,1018250043.0,03/28/2017,Open,Site downloaded for cleaning,,997925.0,231618.0
106,136 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1004100009.0,03/28/2017,Open,Site downloaded for cleaning,,987223.0,201579.0
107,1755 LEXINGTON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,1016360050.0,04/09/2017,Open,Site downloaded for cleaning,,999501.0,228588.0
108,58 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031870034.0,04/03/2017,Open,Site downloaded for cleaning,,1005302.0,195962.0
109,212-04 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23.0,4106690088.0,03/08/2017,Open,Site downloaded for cleaning,,1052461.0,203435.0
110,107-63 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28.0,4101320021.0,02/24/2017,Open,Site downloaded for cleaning,,1039886.0,191820.0
111,935 EAST  163 STREET,BRONX,02 BRONX,Precinct 41,17.0,2027030025.0,02/08/2017,Open,Site downloaded for cleaning,,1012855.0,238409.0
112,8014 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3059870045.0,02/25/2017,Open,Site downloaded for cleaning,,976100.0,167949.0
113,5914 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008660045.0,02/08/2017,Open,Site downloaded for cleaning,,981721.0,170965.0
114,856 EAST  180 STREET,BRONX,06 BRONX,Precinct 48,17.0,2031180029.0,02/21/2017,Open,Site downloaded for cleaning,,1016451.0,247357.0
115,706 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33.0,3017510020.0,02/24/2017,Open,Site downloaded for cleaning,,996712.0,192376.0
116,210 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,1022260029.0,01/13/2017,Open,Site downloaded for cleaning,,1006142.0,254609.0
117,1192 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36.0,3012120042.0,01/16/2017,Open,Site downloaded for cleaning,,998044.0,185889.0
118,5416 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008260044.0,12/27/2016,Open,Site downloaded for cleaning,,982528.0,171985.0
119,33-03 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22.0,4006230107.0,11/01/2016,Open,Site downloaded for cleaning,,1005401.0,216601.0
120,1100 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016000017.0,11/02/2016,Open,Site downloaded for cleaning,,1003582.0,192192.0
121,7 CENTRE MARKET PLACE,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,1004710007.0,09/25/2016,Open,Site downloaded for cleaning,,984872.0,201606.0
122,4023 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38.0,3009200001.0,09/06/2016,Open,Site downloaded for cleaning,,984791.0,174829.0
123,3524 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45.0,3076970048.0,07/21/2016,Open,Site downloaded for cleaning,,1000713.0,164345.0
124,144 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3032700038.0,03/30/2017,Open,Site to be cleaned.,,1007217.0,195414.0
125,8010 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46.0,3080170036.0,03/31/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008369.0,170859.0
126,1372 BEDFORD AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35.0,3012110043.0,05/02/2017,Open,Site downloaded for cleaning,,997280.0,185700.0
127,749 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3009030059.0,04/19/2017,Open,Site downloaded for cleaning,,984690.0,175345.0
128,1673 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3065830070.0,04/13/2017,Open,Site downloaded for cleaning,,991581.0,162254.0
129,1209 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3065140057.0,04/08/2017,Open,Site downloaded for cleaning,,990949.0,166626.0
130,220 EAST  170 STREET,BRONX,04 BRONX,Precinct 44,16.0,2028300035.0,04/05/2017,Open,Site downloaded for cleaning,,1008415.0,244703.0
131,2455 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47.0,3071730001.0,04/08/2017,Open,Site downloaded for cleaning,,991490.0,154950.0
132,529 WAVERLY AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3020120010.0,03/22/2017,Open,Site downloaded for cleaning,,993767.0,187882.0
133,1697 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14.0,2028610094.0,02/14/2017,Open,Site downloaded for cleaning,,1008331.0,247823.0
134,21-21 44 ROAD,QUEENS,02 QUEENS,Precinct 108,26.0,4004390008.0,03/01/2017,Open,Site downloaded for cleaning,,999149.0,212049.0
135,7711 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3062440006.0,03/03/2017,Open,Site downloaded for cleaning,,981819.0,164800.0
136,626 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33.0,3022670014.0,02/07/2017,Open,Site downloaded for cleaning,,999232.0,195417.0
137,193 MARCUS GARVEY AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016050001.0,02/28/2017,Open,Site downloaded for cleaning,,1000959.0,191255.0
138,2408 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15.0,2031520051.0,01/04/2017,Open,Site downloaded for cleaning,,1012352.0,252649.0
139,200 MOORE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3031090022.0,12/07/2016,Open,Site downloaded for cleaning,,1001805.0,195876.0
140,1522 INWOOD AVENUE,BRONX,04 BRONX,Precinct 44,14.0,2028590018.0,11/09/2016,Open,Site downloaded for cleaning,,1007233.0,246516.0
141,1007 BEACH   20 STREET,QUEENS,14 QUEENS,Precinct 101,31.0,4157040001.0,07/12/2016,Open,Site downloaded for cleaning,,1052764.0,158937.0
142,98 EAST    7 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,1004340013.0,04/17/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,988379.0,204033.0
143,1750 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15.0,2028250010.0,04/12/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009070.0,247425.0
144,351 4 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39.0,3009820061.0,05/02/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989097.0,183957.0
145,257-02 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23.0,4087870001.0,04/18/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1064374.0,207836.0
146,423 EAST  140 STREET,BRONX,01 BRONX,Precinct 40,8.0,2022850085.0,04/16/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1006140.0,234385.0
